gene_ID,DRR016125,DRR016126,DRR016127,DRR016128,DRR016129,DRR016130,DRR016131,DRR016132,DRR016133,DRR016134,DRR016135,DRR016136,DRR016137,DRR016138,DRR016139,DRR016140
AT1G01520,0,0,1,0,0,0,0,1,0,0,4,1,0,0,2,0
AT1G01530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01540,10,12,5,8,6,20,8,12,5,8,3,9,7,8,5,6
AT1G01550,25,47,24,26,31,41,15,42,32,34,27,34,30,36,23,28
AT1G01560,0,1,6,0,1,1,0,0,0,0,1,1,0,1,8,1
AT1G01570,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,0
AT1G01580,0,0,2,8,0,1,0,3,0,0,1,2,1,0,0,18
AT1G01590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01600,1,0,0,0,0,0,0,2,1,0,5,2,0,2,0,0
AT1G01610,10,10,6,6,20,14,4,8,12,17,4,15,13,10,5,6
AT1G01620,128,246,179,118,189,198,249,92,177,190,258,163,146,141,237,115
AT1G01630,3,15,4,2,6,10,0,3,3,1,5,11,6,9,4,8
AT1G01640,4,0,0,0,4,0,1,0,4,4,0,0,0,1,1,1
AT1G01650,6,12,22,11,1,11,21,1,2,13,24,8,13,2,18,1
AT1G01660,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
AT1G01670,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0
AT1G01680,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0
AT1G01690,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,2
AT1G01695,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AT1G01700,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0
AT1G01710,7,33,10,6,12,5,7,5,14,7,5,14,5,12,10,2
AT1G01720,1,64,158,20,1,47,140,29,3,32,195,18,3,26,115,8
AT1G01725,3,2,9,0,6,0,14,1,7,3,28,1,5,0,18,1
AT1G01730,7,5,26,1,13,3,42,9,11,10,38,6,3,2,26,5
AT1G01740,1,0,13,1,1,0,4,0,0,0,17,0,0,0,6,1
AT1G01750,0,0,0,0,0,0,0,3,0,1,1,0,0,0,1,0
AT1G01760,0,0,1,0,0,0,0,0,3,0,0,1,0,0,1,0
AT1G01770,1,5,8,1,6,8,6,2,13,14,6,3,10,7,1,3
AT1G01780,17,11,4,2,8,24,14,0,5,9,9,13,4,2,12,0
AT1G01790,6,8,10,23,19,7,6,43,4,8,18,33,6,7,15,15
AT1G01800,15,12,27,3,11,9,11,12,11,2,4,23,15,4,21,6
AT1G01810,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AT1G01820,17,15,5,9,7,29,8,3,15,14,5,2,22,16,6,1
AT1G01830,2,13,3,2,1,5,2,8,1,2,2,4,1,2,4,2
AT1G01840,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0
AT1G01860,2,1,0,1,1,1,2,2,0,0,1,1,1,0,3,0
AT1G01870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01880,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
AT1G01890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01900,0,7,1,0,1,10,1,2,0,0,0,2,0,0,0,0
AT1G01910,8,26,11,8,11,11,10,2,10,5,8,4,10,3,7,2
AT1G01920,0,2,3,5,1,2,0,1,4,1,1,8,5,2,5,0
AT1G01930,1,1,3,4,3,2,9,2,0,1,2,2,4,1,5,0
AT1G01940,2,2,1,4,2,0,1,1,2,14,0,7,2,6,5,2
AT1G01950,0,6,6,4,0,2,9,1,0,1,3,2,1,2,4,1
AT1G01960,7,7,14,6,9,7,7,4,10,3,12,6,8,3,8,5
AT1G01970,1,7,0,11,2,1,2,4,1,1,0,7,2,1,1,5
AT1G01980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01990,3,2,1,4,3,9,1,1,4,5,3,5,6,1,4,1
AT1G02000,0,11,1,2,3,1,6,0,2,3,2,4,3,3,4,2
AT1G02010,2,3,1,4,2,1,1,0,0,3,0,2,1,1,2,1
AT1G02020,0,2,5,2,2,1,4,11,2,3,1,4,1,1,2,1
AT1G02030,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
AT1G02040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02050,5,0,0,1,2,6,1,0,1,0,1,0,6,1,2,1
AT1G02060,0,0,0,0,4,0,0,0,1,1,1,0,1,0,0,0
AT1G02065,0,1,0,1,0,3,1,0,2,0,1,2,1,1,0,0
AT1G02070,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AT1G02074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02080,14,17,19,9,20,22,6,9,7,15,23,10,9,10,21,2
AT1G02090,13,9,1,5,6,16,4,2,10,3,7,15,4,10,10,4
AT1G02100,6,14,3,2,3,10,5,1,8,10,3,2,11,1,6,6
AT1G02110,1,1,1,3,7,6,7,4,6,6,4,7,10,2,5,1
AT1G02120,18,4,6,7,6,9,8,8,20,8,11,14,17,10,10,7
AT1G02130,11,13,8,19,11,12,5,11,19,2,2,20,13,6,15,6
AT1G02136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02140,12,6,8,26,20,24,9,22,8,16,11,18,8,12,18,14
AT1G02145,0,6,1,2,2,1,0,2,4,0,2,4,1,1,0,1
AT1G02150,21,8,16,26,28,10,9,28,23,13,12,29,22,3,13,16
AT1G02160,1,8,1,0,6,6,2,4,1,9,0,7,6,1,0,5
AT1G02170,7,10,11,6,10,26,10,2,10,11,6,5,11,4,11,5
AT1G02180,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1
AT1G02190,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
AT1G02205,0,53,20,1,2,88,18,5,0,34,8,5,4,60,26,2
AT1G02210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02220,1,14,5,0,2,11,0,4,1,7,1,2,2,10,1,1
AT1G02228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02230,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02260,7,4,0,0,2,3,1,1,2,2,0,1,4,2,1,0
AT1G02270,4,8,3,2,2,3,3,3,4,4,8,5,10,4,0,9
AT1G02280,18,6,24,9,29,14,23,17,33,7,22,19,20,12,11,3
AT1G02290,2,2,0,0,1,0,1,1,4,1,1,0,0,0,1,1
AT1G02300,4,8,5,4,7,11,1,2,4,8,1,1,5,1,1,0
AT1G02305,26,63,21,8,23,79,21,23,51,43,21,4,52,29,12,6
AT1G02310,0,3,0,0,1,0,1,0,0,2,0,0,0,0,2,0
AT1G02320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02330,1,3,3,4,3,5,3,3,5,1,7,6,4,0,5,4
AT1G02335,2,6,1,1,1,1,0,7,2,6,1,1,0,1,0,0
AT1G02340,1,1,1,0,0,0,1,0,0,0,0,0,0,3,1,1
AT1G02350,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
AT1G02360,8,7,0,4,6,1,0,8,9,3,0,1,2,2,0,1
AT1G02370,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0
AT1G02380,0,0,1,1,1,0,0,1,1,0,3,2,0,0,0,0
AT1G02390,0,2,1,0,0,1,0,0,1,2,0,0,0,3,0,2
AT1G02391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02400,0,19,2,0,0,5,0,4,5,3,2,1,1,2,0,0
AT1G02405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02410,2,1,2,6,4,2,8,9,8,0,4,3,0,1,1,0
AT1G02420,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AT1G02430,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02450,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
AT1G02460,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
AT1G02470,0,11,1,0,0,6,0,0,0,7,1,1,1,0,1,0
AT1G02475,12,11,3,8,5,17,0,7,18,17,7,5,7,4,8,9
AT1G02480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02500,123,104,72,126,117,144,101,159,155,120,127,146,166,98,81,117
AT1G02510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02520,0,7,0,1,0,11,0,1,0,1,0,0,3,1,0,1
AT1G02530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02560,37,71,45,48,71,56,44,44,62,21,96,71,56,34,43,42
AT1G02570,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AT1G02590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02610,5,1,0,0,8,8,0,5,1,1,10,6,6,1,0,1
AT1G02620,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AT1G02630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02640,18,6,3,1,11,2,5,6,9,1,1,12,11,2,3,5
AT1G02650,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
AT1G02660,22,59,42,1,18,38,19,3,20,20,25,10,16,15,30,2
AT1G02670,0,4,1,1,2,1,0,1,0,2,1,0,0,0,0,0
AT1G02680,1,4,0,1,2,0,2,0,3,0,5,1,1,6,1,0
AT1G02681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02690,1,0,0,0,1,1,3,4,1,0,0,1,6,1,3,2
AT1G02700,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AT1G02710,0,0,0,0,1,0,0,1,6,0,0,3,1,0,0,0
AT1G02720,0,1,1,0,1,0,0,1,1,0,0,5,1,0,1,1
AT1G02730,6,0,1,7,1,2,0,10,2,0,5,8,2,0,0,3
AT1G02740,0,1,0,0,3,2,1,1,1,1,1,1,2,0,0,1
AT1G02750,6,7,1,0,0,0,1,7,0,2,2,1,2,1,5,3
AT1G02760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02780,113,108,117,224,136,141,148,212,164,73,145,235,156,91,151,214
AT1G02790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02800,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,1
AT1G02810,2,1,0,1,3,0,0,2,2,0,0,1,0,0,0,1
AT1G02813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02816,1,9,4,3,4,22,4,10,6,22,7,9,2,12,4,1
AT1G02820,0,0,4,34,0,0,1,8,0,0,9,25,1,0,2,7
AT1G02830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02840,39,42,7,31,34,36,22,13,38,31,10,24,28,24,15,12
AT1G02850,6,14,10,2,5,14,1,1,2,10,12,4,6,7,16,5
AT1G02860,2,8,1,4,1,5,5,1,3,2,6,1,1,1,7,0
AT1G02870,1,3,0,0,2,0,0,8,5,0,0,8,10,1,0,3
AT1G02880,4,3,2,1,6,10,1,2,6,11,5,0,6,7,1,0
AT1G02890,14,36,13,8,19,23,16,23,16,6,25,4,18,12,14,2
AT1G02900,1,1,0,1,6,1,2,0,1,0,1,2,6,2,1,0
AT1G02910,5,5,8,14,9,7,7,13,0,2,15,7,1,1,3,6
AT1G02920,37,89,9,10,13,83,0,8,58,62,3,1,32,83,1,2
AT1G02930,44,131,4,15,31,125,2,13,42,64,4,7,40,89,9,5
AT1G02940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02950,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AT1G02952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02960,1,7,0,0,2,6,2,2,2,1,2,3,6,1,0,2
AT1G02965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02970,1,0,0,1,0,1,0,1,0,0,0,2,0,0,0,1
AT1G02980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G02990,1,1,1,0,6,2,2,1,2,2,4,3,2,2,1,0
AT1G03000,3,3,1,1,1,3,0,1,3,2,1,2,1,2,6,0
AT1G03010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AT1G03020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03030,7,8,2,4,5,3,0,4,3,0,5,1,3,1,4,2
AT1G03040,12,7,22,2,11,4,6,13,14,5,3,16,7,3,2,7
AT1G03050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03055,0,0,0,4,0,0,0,3,0,0,0,2,0,0,0,1
AT1G03060,8,3,4,2,10,4,5,4,13,4,8,5,3,2,2,1
AT1G03070,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
AT1G03080,6,21,11,3,13,34,13,9,16,14,21,8,7,19,20,7
AT1G03090,70,171,15,3,96,142,29,5,111,123,45,2,65,102,38,2
AT1G03100,0,0,2,0,0,0,0,0,0,0,2,0,1,0,2,0
AT1G03103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03110,2,1,1,0,0,1,2,2,0,0,0,2,0,1,0,0
AT1G03120,0,0,0,1,0,1,0,0,0,0,1,0,0,0,5,0
AT1G03130,246,182,72,289,365,276,107,280,353,145,141,398,357,193,106,249
AT1G03140,19,8,5,17,17,26,11,4,19,10,18,15,13,15,16,7
AT1G03150,4,5,1,0,5,3,2,4,1,1,1,7,1,1,1,1
AT1G03160,4,6,1,7,5,4,1,4,6,1,2,6,10,2,7,2
AT1G03170,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
AT1G03180,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0
AT1G03190,1,0,0,0,0,0,1,0,0,2,1,0,3,3,1,1
AT1G03200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AT1G03210,2,2,2,0,6,0,0,2,4,1,0,2,1,0,1,2
AT1G03220,34,211,212,39,71,125,130,44,93,111,163,42,62,79,143,23
AT1G03230,4,4,1,4,11,7,0,8,17,11,1,10,5,3,2,2
AT1G03240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03250,0,5,1,9,2,12,3,1,6,10,6,3,0,3,1,2
AT1G03260,0,2,1,0,0,0,0,1,4,0,1,0,0,1,1,0
AT1G03270,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1
AT1G03280,3,2,1,7,3,6,3,4,13,4,12,7,4,8,4,1
AT1G03290,7,17,5,2,10,14,2,1,5,7,1,5,9,4,7,1
AT1G03300,2,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0
AT1G03310,3,7,0,3,1,8,1,3,5,1,2,7,5,0,1,0
AT1G03320,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AT1G03330,8,9,7,3,5,2,6,10,8,1,9,15,5,3,3,5
AT1G03340,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AT1G03350,4,2,2,3,3,8,3,3,7,2,5,10,8,4,10,3
AT1G03360,3,0,1,3,1,1,0,2,2,0,0,2,2,0,0,2
AT1G03365,2,1,2,1,3,2,4,0,2,4,1,2,2,5,2,1
AT1G03370,4,3,2,11,3,10,2,1,1,2,1,1,1,2,4,0
AT1G03380,5,18,3,1,16,9,1,4,6,5,1,7,0,0,6,2
AT1G03390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03400,3,9,8,2,8,2,3,2,1,1,1,2,2,2,1,7
AT1G03410,2,0,0,1,1,0,3,0,1,0,2,1,0,0,4,2
AT1G03420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03430,1,1,3,0,2,2,3,1,2,0,0,0,1,0,0,4
AT1G03440,2,2,0,10,5,6,4,5,1,1,2,8,0,1,7,10
AT1G03445,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03457,0,1,2,1,0,0,1,1,1,1,8,1,0,0,2,1
AT1G03470,4,0,0,1,1,9,2,0,7,1,1,0,3,4,5,2
AT1G03475,28,14,33,35,45,21,41,33,55,14,34,51,50,13,22,46
AT1G03490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03495,1,1,0,3,0,0,0,1,0,0,1,1,0,0,1,1
AT1G03502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03520,0,5,1,0,1,2,0,1,6,5,2,2,0,3,2,2
AT1G03530,0,0,0,7,5,1,1,2,6,0,2,7,3,0,1,1
AT1G03540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03550,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0
AT1G03560,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0
AT1G03570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03580,3,2,0,0,6,1,1,1,3,1,1,0,9,0,0,0
AT1G03590,4,10,6,6,10,4,4,5,3,1,2,6,6,2,3,6
AT1G03600,92,74,92,136,141,62,89,118,100,75,171,190,107,43,67,98
AT1G03610,5,11,9,10,12,2,12,17,6,9,12,12,6,7,22,8
AT1G03620,1,1,0,2,0,0,0,1,0,1,0,1,0,0,0,0
AT1G03630,14,18,41,62,30,20,36,53,39,9,28,70,26,12,38,43
AT1G03640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03650,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,4
AT1G03660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03680,58,62,53,66,63,57,49,64,42,47,69,94,73,46,57,43
AT1G03687,0,1,5,6,0,0,2,5,1,0,1,6,3,0,2,1
AT1G03700,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
AT1G03710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03730,0,0,1,0,0,1,1,0,1,2,2,2,0,0,0,0
AT1G03740,13,11,1,7,16,18,2,8,11,9,3,2,6,8,3,2
AT1G03743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03750,0,0,0,1,0,1,2,0,0,1,0,0,0,0,1,1
AT1G03760,0,5,2,3,1,1,2,2,2,0,0,0,1,0,1,2
AT1G03770,2,4,0,0,0,2,1,0,4,0,2,2,3,2,0,0
AT1G03780,1,0,0,2,2,0,0,6,2,1,0,5,1,0,1,3
AT1G03790,0,15,12,0,0,2,1,0,0,4,1,0,0,0,1,0
AT1G03800,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0
AT1G03810,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AT1G03820,1,5,0,7,2,1,0,1,3,0,0,2,0,0,0,1
AT1G03830,1,0,0,2,0,0,0,1,2,0,0,0,0,1,0,0
AT1G03840,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
AT1G03850,7,8,7,0,1,16,4,3,2,4,6,3,5,7,3,2
AT1G03860,7,13,2,13,8,12,4,12,22,8,3,29,14,1,10,2
AT1G03870,40,17,2,33,32,4,1,34,74,5,2,40,40,12,2,24
AT1G03880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03900,26,39,18,8,16,34,4,31,13,31,14,7,21,13,18,25
AT1G03905,0,2,2,1,1,0,0,1,1,0,2,0,0,1,0,0
AT1G03910,10,13,12,8,3,11,9,5,9,6,12,5,19,7,14,3
AT1G03920,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1
AT1G03930,2,10,8,5,8,4,4,11,4,3,5,5,5,4,2,5
AT1G03935,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AT1G03940,0,1,1,1,1,1,0,1,0,0,0,2,2,1,0,1
AT1G03950,8,10,5,2,0,0,3,3,2,1,2,2,1,4,1,2
AT1G03960,0,2,1,0,1,1,0,1,2,1,1,1,2,0,1,0
AT1G03970,2,1,1,1,3,2,0,1,1,1,0,1,2,3,0,1
AT1G03980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G03990,0,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0
AT1G04000,2,9,4,3,3,3,2,1,10,1,2,10,3,1,1,1
AT1G04010,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0
AT1G04020,0,2,0,0,1,0,0,1,1,0,1,1,0,1,1,0
AT1G04030,0,0,0,0,4,0,0,2,3,0,0,0,0,0,0,0
AT1G04040,16,7,0,11,8,1,1,3,15,2,4,17,12,3,1,12
AT1G04050,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0
AT1G04070,1,0,0,0,0,1,0,1,0,1,1,5,2,0,0,0
AT1G04080,25,12,20,15,37,21,13,9,30,11,23,17,19,9,19,11
AT1G04090,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
AT1G04100,0,5,1,0,0,1,0,1,2,1,0,0,1,3,2,1
AT1G04110,1,1,1,0,0,1,0,1,1,0,0,3,1,0,1,1
AT1G04120,9,23,14,7,10,10,6,12,7,6,10,5,2,11,7,1
AT1G04130,1,0,1,3,0,5,5,2,0,1,0,3,0,0,1,1
AT1G04140,8,28,2,4,11,21,10,14,21,7,12,24,19,9,15,3
AT1G04150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
